date,product,region,amount
2024-01-01,Laptop,North,52000
2024-01-01,Mobile,South,28000
2024-01-01,Tablet,East,15000
2024-01-02,Laptop,West,48000
2024-01-02,Mobile,North,35000
2024-01-02,Tablet,South,18000
2024-01-03,Laptop,East,51000
2024-01-03,Mobile,West,29000
2024-01-03,Tablet,North,22000
2024-01-04,Laptop,South,53000
2024-01-04,Mobile,East,31000
2024-01-04,Tablet,West,20000
2024-01-05,Laptop,North,60000
2024-01-05,Mobile,South,33000
2024-01-05,Tablet,East,25000
2024-01-06,Laptop,West,47000
2024-01-06,Mobile,North,36000
2024-01-06,Tablet,South,21000
2024-01-07,Laptop,East,55000
2024-01-07,Mobile,West,34000
2024-01-07,Tablet,North,24000
2024-01-08,Laptop,South,62000
2024-01-08,Mobile,East,30000
2024-01-08,Tablet,West,23000
2024-01-09,Laptop,North,58000
2024-01-09,Mobile,South,37000
2024-01-09,Tablet,East,26000
2024-01-10,Laptop,West,49000
2024-01-10,Mobile,North,39000
2024-01-10,Tablet,South,22000
2024-01-11,Laptop,East,57000
2024-01-11,Mobile,West,35000
2024-01-11,Tablet,North,27000
2024-01-12,Laptop,South,64000
2024-01-12,Mobile,East,32000
2024-01-12,Tablet,West,25000
2024-01-13,Laptop,North,61000
2024-01-13,Mobile,South,36000
2024-01-13,Tablet,East,28000
2024-01-14,Laptop,West,50000
2024-01-14,Mobile,North,40000
2024-01-14,Tablet,South,23000
2024-01-15,Laptop,East,59000
2024-01-15,Mobile,West,38000
2024-01-15,Tablet,North,26000
2024-01-16,Laptop,South,65000
2024-01-16,Mobile,East,33000
2024-01-16,Tablet,West,24000
2024-01-17,Laptop,North,63000
2024-01-17,Mobile,South,35000
2024-01-17,Tablet,East,29000
